id,code,name,short_name,department,category,reporting_type,outsource_lab_name,price_paisa,sample_type,container,method,tat_hours,interpretation_template,is_active,display_order,created_at (Nepal ISO +05:45),updated_at (Nepal ISO +05:45),allow_manual_price,requires_sample_tracking,description,test_kind,lifecycle_status,category_id,sample_volume,configuration_notes,row_version,archived_at (Nepal ISO +05:45),archived_by,activated_at (Nepal ISO +05:45),activated_by,price_configured,allow_zero_price_billing,clinical_configuration_status,workflow_supported,normalized_name_collision_exempt,pricing_policy,search_aliases,billing_enabled,clinical_reporting_enabled,collection_required,workflow_type,analyzer_configuration_required,reporting_model
"76808830-de17-48b4-b8f2-f49f4a7344e4","VITAMIN_D","25-Hydroxy Vitamin D (Total)","Vit D","Clinical Biochemistry","Vitamins","InHouse","","300000","Serum","Yellow Top (SST)","","6","","true","460","2026-08-19T08:29:33+05:45","2026-08-19T08:29:33+05:45","false","false","","Individual","Active","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","","1","","","","","true","false","Configured","true","false","Fixed","[""vitamin d3"",""25 hydroxy (oh) vitamin d""]","true","false","true","Routine","false","NumericSingle"
"22ef84fb-a911-4911-bd4a-ed51dc9d2d13","ABS_DLC","Absolute Differential Leukocyte Count","Absolute DLC","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Profile","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[]","false","false","false","Routine","false","Profile"
"68d35bc0-aaf7-44b7-a105-a673565769d3","AEC","Absolute Eosinophil Count","","Hematology","Hematology","NoReporting","","0","","","","","","false","0","2026-08-26T21:05:55+05:45","2026-08-26T21:05:55+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","CBC-derived relationship requires review.","1","","","","","false","false","Requires Clinical Validation","true","false","Fixed","[""aec""]","false","false","false","NoClinicalReport","false","NarrativeDocument"
"04279d4a-ca78-47cb-8913-8e7dfed96bb1","ANC","Absolute Neutrophil Count","","Hematology","Hematology","NoReporting","","0","","","","","","false","0","2026-08-26T21:05:55+05:45","2026-08-26T21:05:55+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","CBC-derived relationship requires review.","1","","","","","false","false","Requires Clinical Validation","true","false","Fixed","[]","false","false","false","NoClinicalReport","false","NarrativeDocument"
"22f0fba1-d0fd-43e3-87ac-607977c62b84","AFB","Acid - Fast Bacilli","AFB","Microbiology","Microbiology & Culture","NoReporting","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","1f3a7368-f9be-47b6-8295-b5788e968e1c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","false","false","PricePending","[""afb""]","false","false","false","MicrobiologyMicroscopy","false","MixedTyped"
"079ab21d-fec4-4b26-9c9b-60eb3627ff19","APTT","Activated Partial Thromboplastin Time","APTT","Hematology","Hematology","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","50a22a24-84f3-4ec4-aa5c-65c52f9b1c29","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""aptt""]","false","false","false","Routine","false","NumericMultiParameter"
"b547f732-a40e-4a91-946e-aec008efe786","ADA_PLEURAL_PERICARDIAL_OR_ASCITIC_FLUID","ADA (Pleural,Pericardial or Ascitic Fluid)","ADA (Pleural,Pericardial or Ascitic Fluid)","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""ada (pleural,pericardial or ascitic fluid)""]","false","false","false","Routine","false","NumericSingle"
"cf10e67b-00fd-4931-af74-be3e4a401db4","ADA","Adenosine Deaminase","ADA","Clinical Biochemistry","Biochemistry & Clinical Chemistry","InHouse","","0","","","","","","false","0","2026-08-29T08:52:41+05:45","2026-08-29T08:52:41+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 identity only; clinical configuration, price and activation require separate approval.","1","","","","","false","false","Requires Clinical Validation","true","false","PricePending","[""ada""]","false","false","false","Routine","false","NumericMultiParameter"
"7482c719-071d-4ce1-aeb1-1ec370391f0a","AFP","Alfa Feto Protein","","Clinical Biochemistry","ECLIA","InHouse","","150000","Blood / Serum","Yellow Top (SST)","","3","","true","0","2026-08-26T13:29:56+05:45","2026-08-26T13:29:56+05:45","false","false","","Individual","Active","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","TM256 convergence: structurally incomplete legacy identity held non-operational pending canonical resolution.","1","","","","","true","false","Requires Clinical Validation","true","false","Fixed","[""afp"",""alfa fetoprotein, afp""]","false","false","true","Routine","false","NumericSingle"
"bcf69e1e-b857-4214-ba4c-f11adc3e3b4f","ALP","Alkaline Phosphatase","","Biochemistry & Clinical Chemistry","Biochemistry & Clinical Chemistry","NoReporting","","0","","","","","","false","0","2026-08-26T21:05:55+05:45","2026-08-26T21:05:55+05:45","false","false","","Individual","Draft","33e32ee7-a3d3-433f-a0b8-ed25da80db2c","","Potential LFT component collision; review required.","1","","","","","false","false","Requires Clinical Validation","true","false","Fixed","[]","false","false","false","NoClinicalReport","false","NarrativeDocument"
