test_code,parameter_code,sex,age_min_days,age_max_days,normal_min,normal_max,critical_low,critical_high,reference_text,qualitative_normal,method,effective_from,effective_to,is_active
THYROID_ECLIA,FT3,All,0,43800,1.3,2.7,,,"","","",2026-08-19,,true
THYROID_ECLIA,FT4,All,0,43800,78,154,,,"","","",2026-08-19,,true
THYROID_ECLIA,TSH,All,0,43800,0.4,4,,,"","","",2026-08-19,,true
CBC,HB,Male,6570,43800,13,17,,,"13.0 - 17.0 g/dL","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,HB,Female,6570,43800,12,15,,,"12.0 - 15.0 g/dL","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,TLC,All,6570,43800,4000,11000,,,"4000 - 11000 /cumm","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,NEUT,All,6570,43800,40,75,,,"40 - 75 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,LYMPH,All,6570,43800,20,45,,,"20 - 45 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,EOSIN,All,6570,43800,1,6,,,"1 - 6 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,MONO,All,6570,43800,2,10,,,"2 - 10 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
ANTI_HCV,HCV_RES,All,6570,43800,,,,,"Non-Reactive","Non-Reactive","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
HIV,HIV_RES,All,6570,43800,,,,,"Non-Reactive","Non-Reactive","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
VDRL,VDRL_RES,All,6570,43800,,,,,"Non-Reactive","Non-Reactive","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
DENGUE_NS1,DENGUE_NS1_RES,All,6570,43800,,,,,"Negative","Negative","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,BASO,All,6570,43800,0,1,,,"0 - 1 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,RBC,Male,6570,43800,4.5,5.9,,,"4.5 - 5.9 million/cumm","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,RBC,Female,6570,43800,4.1,5.1,,,"4.1 - 5.1 million/cumm","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,PCV,Male,6570,43800,40,52,,,"40 - 52 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,PCV,Female,6570,43800,36,48,,,"36 - 48 %","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,MCV,All,6570,43800,80,100,,,"80 - 100 fL","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
CBC,MCH,All,6570,43800,27,33,,,"27 - 33 pg","","Default reference interval - verify with analyzer/reagent",2026-08-19,,true
