"Source #2 #","Category","Source #2 Name","External Reference Price","Supplied Specimen","Supplied Volume/Schedule/Method","Evidence Field","Existing 256 Match","Existing Production Match","Canonical Proposed Identity","Relationship","Workflow Boundary","Conflict","Price Authority"
"1","Biochemistry & Clinical Chemistry","Blood Sugar Fasting","100","Serum","1 ml","SampleVolume","Fasting Blood Sugar","FBS — Fasting Blood Sugar (FBS) [Active/Routine; clinical=false]","FBS — Fasting Blood Sugar (FBS)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"2","Biochemistry & Clinical Chemistry","Blood Sugar PP","100","Serum","1 ml","SampleVolume","Blood Sugar PP","PPBS — Post Prandial Blood Sugar (PPBS) [Active/Routine; clinical=false]","PPBS — Post Prandial Blood Sugar (PPBS)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"3","Biochemistry & Clinical Chemistry","Blood Sugar Random","100","Serum","1 ml","SampleVolume","Random Blood Sugar","RBS — Random Blood Sugar (RBS) [Active/Routine; clinical=false]","RBS — Random Blood Sugar (RBS)","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"4","Biochemistry & Clinical Chemistry","Cholesterol-Total","300","Fasting Serum","1 ml","SampleVolume","Total Cholesterol","CHOL_TOTAL — Total Cholesterol [Draft/NoClinicalReport; clinical=false]","CHOL_TOTAL — Total Cholesterol","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"5","Biochemistry & Clinical Chemistry","Cholesterol HDL","350","Fasting Serum","1 ml","SampleVolume","HDL Cholesterol","HDL_CHOL — HDL Cholesterol [Draft/NoClinicalReport; clinical=false]","HDL_CHOL — HDL Cholesterol","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"6","Biochemistry & Clinical Chemistry","Cholesterol-LDL","350","Fasting Serum","1 ml","SampleVolume","LDL Cholesterol","LDL_CHOL — LDL Cholesterol [Draft/NoClinicalReport; clinical=false]","LDL_CHOL — LDL Cholesterol","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"7","Biochemistry & Clinical Chemistry","Triglycerides","300","Serum","2 ml","SampleVolume","Triglycerides","TRIGLYCERIDES — Triglycerides [Draft/NoClinicalReport; clinical=false]","TRIGLYCERIDES — Triglycerides","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"8","Biochemistry & Clinical Chemistry","Uric Acid Serum","300","Serum","2 ml","SampleVolume","Serum Uric Acid","URIC_ACID — Serum Uric Acid [Active/Routine; clinical=false]","URIC_ACID — Serum Uric Acid","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"9","Biochemistry & Clinical Chemistry","Creatinine Serum","300","Serum","1 ml","SampleVolume","Serum Creatinine","CREATININE — Serum Creatinine [Active/Routine; clinical=false]","CREATININE — Serum Creatinine","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
"10","Biochemistry & Clinical Chemistry","Urea Serum","300","Serum","2 ml","SampleVolume","Serum Urea","UREA — Blood Urea [Active/Routine; clinical=false]","UREA — Blood Urea","Existing256Match","Routine LIS / Clinical Biochemistry","","ExternalReferencePrice"
