"test_code","test_name","category","department","test_type","reporting_model","current_parameter_count","current_child_component_count","expected_result_structure","missing_structure"
"ALG-0049","Food Allergy Panel","Panels","Allergy","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"ALG-0050","Inhalant Allergy Panel","Panels","Allergy","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"ALG-0051","Pediatric Allergy Panel","Panels","Allergy","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"ALG-0052","Atopy Screen","Panels","Allergy","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"IMM-0027","Lupus Anticoagulant Panel","Autoimmune / Immunoglobulins","Immunology","Single","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0010","Fertility Female Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0011","Fertility Male Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0012","PCOS Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0013","Anemia Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0015","Thrombophilia Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0016","TORCH Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0017","Hepatitis B Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0018","Autoimmune Screen","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0019","Rheumatology Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0020","Multiple Myeloma Screen","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0021","Antenatal Basic Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0022","Preoperative Basic Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0023","Fever Panel - Basic","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0024","Hypertension Secondary Screen","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"PRO-0025","Pituitary Profile","Clinical Profiles","Profiles / Packages","Panel","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"SPC-0005","Amino Acid Profile, Plasma","Metabolic / Screening","Special Chemistry","Single","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
"SPC-0006","Acylcarnitine Profile","Metabolic / Screening","Special Chemistry","Single","NumericSingle","0","0","SINGLE_OR_MULTI_ANALYTE","MISSING_REPORTABLE_PARAMETERS"
