code,name,category,configuration_type,status,priority,parameter_count,reference_range_required,reference_range_count,qualitative_config_required,analyzer_mapping_required,analyzer_mapping_count,method,specimen,active_rate,action_reason
"ALG-0049","Food Allergy Panel","Allergy","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Multiplex/Specific IgE panel","Serum","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"ALG-0050","Inhalant Allergy Panel","Allergy","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Multiplex/Specific IgE panel","Serum","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"ALG-0051","Pediatric Allergy Panel","Allergy","PROFILE_PANEL","ACTION_REQUIRED","P0",0,"FALSE",0,"FALSE","FALSE",0,"Multiplex/Specific IgE panel","Serum","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"ALG-0052","Atopy Screen","Allergy","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Multiplex/Specific IgE panel","Serum","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"BIO-0141","Cystatin C","Clinical Biochemistry","ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Method Pending Clinical Validation","Specimen Pending Validation","1200.00","NO_PARAMETERS"
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0057","Gestational OGTT 75 g","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0058","Glucose Challenge Test 50 g","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0059","Dexamethasone Suppression Test - Overnight","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0060","Low Dose Dexamethasone Suppression Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0061","High Dose Dexamethasone Suppression Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
"END-0062","ACTH Stimulation Test","Endocrinology","IMMUNOASSAY","ACTION_REQUIRED","P0",0,"TRUE",0,"FALSE","FALSE",0,"Protocol-based timed testing","Serum/Plasma at timed intervals","RATE_PENDING","NO_PARAMETERS; RATE_MISSING"
