configuration_type,status,priority,category,test_count,missing_parameters,missing_numeric_ranges,missing_qualitative_options,missing_analyzer_mappings,missing_narrative_templates,missing_culture_workflows,missing_rates
"ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0","Clinical Biochemistry",1,1,0,0,0,0,0,0
"ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0","Point of Care / Blood Gas",1,1,0,0,0,0,0,1
"ANALYZER_CHEMISTRY","ACTION_REQUIRED","P0","Special Chemistry",1,1,0,0,0,0,0,1
"IMMUNOASSAY","ACTION_REQUIRED","P0","Allergy",1,1,0,0,0,0,0,1
"IMMUNOASSAY","ACTION_REQUIRED","P0","Endocrinology",10,10,0,0,0,0,0,10
"IMMUNOASSAY","ACTION_REQUIRED","P0","Serology & Immunology",2,2,0,0,0,0,0,0
"PROFILE_PANEL","ACTION_REQUIRED","P0","Allergy",3,3,0,0,0,0,0,3
"PROFILE_PANEL","ACTION_REQUIRED","P0","Immunology",1,1,0,0,0,0,0,1
"PROFILE_PANEL","ACTION_REQUIRED","P0","Profiles / Packages",15,15,0,0,0,0,0,15
"PROFILE_PANEL","ACTION_REQUIRED","P0","Special Chemistry",2,2,0,0,0,0,0,2
"ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1","Clinical Biochemistry",95,0,95,0,0,0,0,92
"ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1","Point of Care / Blood Gas",10,0,10,0,0,0,0,10
"ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1","Special Chemistry",27,0,27,0,0,0,0,26
"ANALYZER_CHEMISTRY","LAB_SPECIFICATION_REQUIRED","P1","Toxicology / TDM",49,0,49,0,0,0,0,49
"ANALYZER_HEMATOLOGY","LAB_SPECIFICATION_REQUIRED","P1","Hematology",69,0,69,0,0,0,0,63
"COAGULATION","LAB_SPECIFICATION_REQUIRED","P1","Coagulation",24,0,24,0,0,0,0,24
"COAGULATION","LAB_SPECIFICATION_REQUIRED","P1","Endocrinology",1,0,1,0,0,0,0,1
"COAGULATION","LAB_SPECIFICATION_REQUIRED","P1","Immunology",2,0,2,0,0,0,0,2
"CYTOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1","Cytology",18,0,0,0,0,18,0,18
"GENETICS_RESULT","WORKFLOW_REQUIRED","P1","Allergy",1,0,0,0,0,1,0,1
"GENETICS_RESULT","WORKFLOW_REQUIRED","P1","Genetics / Cytogenetics",31,0,0,0,0,31,0,31
"HISTOPATHOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1","Hematology",1,0,0,0,0,1,0,1
"HISTOPATHOLOGY_NARRATIVE","WORKFLOW_REQUIRED","P1","Histopathology",133,0,0,0,0,133,0,130
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Allergy",47,0,47,0,0,0,0,47
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Clinical Biochemistry",1,0,1,0,0,0,0,0
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Clinical Pathology",1,0,1,0,0,0,0,1
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Endocrinology",68,0,68,0,0,0,0,57
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Hematology",2,0,2,0,0,0,0,2
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Immunology",84,0,84,0,0,0,0,79
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Serology / Infectious Disease",67,0,67,0,0,0,0,61
"IMMUNOASSAY","LAB_SPECIFICATION_REQUIRED","P1","Tumor Markers",24,0,24,0,0,0,0,18
"MANUAL_MICROSCOPY","LAB_SPECIFICATION_REQUIRED","P1","Clinical Pathology",1,0,0,1,0,0,0,1
"MANUAL_MICROSCOPY","LAB_SPECIFICATION_REQUIRED","P1","Haematology",1,0,0,1,0,0,0,0
"MANUAL_MICROSCOPY","LAB_SPECIFICATION_REQUIRED","P1","Hematology",2,0,0,2,0,0,0,2
"MANUAL_MICROSCOPY","LAB_SPECIFICATION_REQUIRED","P1","Microbiology",3,0,0,3,0,0,0,1
"MICROBIOLOGY_CULTURE","WORKFLOW_REQUIRED","P1","Microbiology",54,0,0,0,0,0,54,52
"MOLECULAR_RESULT","LAB_SPECIFICATION_REQUIRED","P1","Molecular Diagnostics",83,0,0,83,0,0,0,82
"NUMERIC_ANALYTE","LAB_SPECIFICATION_REQUIRED","P1","Clinical Pathology",67,0,67,0,0,0,0,66
"NUMERIC_ANALYTE","LAB_SPECIFICATION_REQUIRED","P1","Microbiology",9,0,9,0,0,0,0,8
"NUMERIC_ANALYTE","LAB_SPECIFICATION_REQUIRED","P1","Serology / Infectious Disease",8,0,8,0,0,0,0,6
"QUALITATIVE_RESULT","LAB_SPECIFICATION_REQUIRED","P1","Immunology",2,0,0,2,0,0,0,2
"QUALITATIVE_RESULT","LAB_SPECIFICATION_REQUIRED","P1","Serology / Infectious Disease",4,0,0,4,0,0,0,3
"QUALITATIVE_RESULT","LAB_SPECIFICATION_REQUIRED","P1","Serology & Immunology",4,0,0,4,0,0,0,0
"PROFILE_PANEL","PARTIAL","P2","Hematology",9,0,0,0,0,0,0,9
"PROFILE_PANEL","PARTIAL","P2","Immunology",1,0,0,0,0,0,0,1
