"clinical_domain","total_tests","operational_tests","unresolved_tests","operational_rate_pct"
"Allergy","52","52","0","100.0%"
"Clinical Biochemistry","142","142","0","100.0%"
"Clinical Pathology","74","74","0","100.0%"
"Coagulation","30","30","0","100.0%"
"Cytology","18","18","0","100.0%"
"Endocrinology","85","85","0","100.0%"
"Genetics / Cytogenetics","31","31","0","100.0%"
"Hematology","93","93","0","100.0%"
"Histopathology","133","133","0","100.0%"
"Immunology","95","95","0","100.0%"
"Microbiology","66","66","0","100.0%"
"Molecular Diagnostics","83","83","0","100.0%"
"Point of Care / Blood Gas","12","12","0","100.0%"
"Profiles / Packages","33","33","0","100.0%"
"Serology / Infectious Disease","89","89","0","100.0%"
"Special Chemistry","30","30","0","100.0%"
"Toxicology / TDM","49","49","0","100.0%"
"Tumor Markers","24","24","0","100.0%"
