"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"147e4a0d-7205-4040-b325-5c04ce85f9a8","104dbe56-7929-4937-a031-f8ce992fa320","ALG-0001","ALG-0001","Specific IgE - House Dust Mite D. pteronyssinus","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"a861d32f-2762-499c-b800-56b99f8cb179","d0159645-7bb9-4e58-8c27-10f37d6e707c","ALG-0002","ALG-0002","Specific IgE - House Dust Mite D. farinae","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"7446378c-ba8d-486f-a051-dd646fbf545e","babe3400-78c5-4e51-afad-90604932b434","ALG-0003","ALG-0003","Specific IgE - Cockroach","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"8dcde4ed-313d-4726-958c-407dc725a712","4cbaf2fd-dcb4-4c72-81d0-689898c9b74c","ALG-0004","ALG-0004","Specific IgE - Cat Dander","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"f7a0b456-67d7-4959-8b64-8518784bfcf5","0d64f449-0050-4b71-b7b8-4321b6a166e4","ALG-0005","ALG-0005","Specific IgE - Dog Dander","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"17906c9c-a127-4bc2-900a-2dabcfe7702a","45f73cfe-38e0-4769-a55e-f13a0ba7aa4b","ALG-0006","ALG-0006","Specific IgE - Alternaria alternata","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"4cabaee8-5338-453b-9163-22964a768625","561d2e0f-99ce-4350-978f-e985b36779cb","ALG-0007","ALG-0007","Specific IgE - Aspergillus fumigatus","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"d70424fe-b9d6-4531-acf4-1f15d61bf263","7f00556a-e89a-41a8-b9d9-a09b4bf30380","ALG-0008","ALG-0008","Specific IgE - Cladosporium herbarum","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"ea99eeec-5bcf-40e3-ad5d-cddce26bed9d","eaa924a5-e38b-46c6-a350-586e482c40b1","ALG-0009","ALG-0009","Specific IgE - Penicillium chrysogenum","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"42447e2c-324d-4a34-a9ca-7f90507a6cd4","f5dbc42b-1431-4591-a92f-13a431d6f247","ALG-0010","ALG-0010","Specific IgE - Bermuda Grass","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"2a44c30e-f122-4b36-9e1b-4b2720c98f45","5c437f2c-ade2-4027-9ef6-dfd156829b7a","ALG-0011","ALG-0011","Specific IgE - Timothy Grass","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"c824a875-10aa-49fe-8a68-0a524f61c04a","49a9485e-00be-4c5a-a3de-58bad8f836a7","ALG-0012","ALG-0012","Specific IgE - Rye Grass","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"669b647d-1972-4741-b5fb-c82c90a746e6","041db139-20a6-49b1-b26c-e03b7594bc0f","ALG-0013","ALG-0013","Specific IgE - Johnson Grass","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"81b8546d-9852-4909-aa32-461ec21f91f4","ab4cd090-588f-4c48-9fe5-900260b9cdef","ALG-0014","ALG-0014","Specific IgE - Common Ragweed","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"14620e90-e694-43b9-83ff-bc8ed69cc3c5","1045990d-09bf-4043-a39c-e0507af991e4","ALG-0015","ALG-0015","Specific IgE - Mugwort","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"34d224c6-46e1-41b8-8d84-22d48899ee6e","8e2b0cf9-fa6b-4dcc-95c4-df87654eb304","ALG-0016","ALG-0016","Specific IgE - Birch","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"dd536644-ebd5-4f9a-8551-797b2506584e","38e64801-d33e-43ec-bc8b-bb3bba708773","ALG-0017","ALG-0017","Specific IgE - Oak","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"d6d282fd-da26-4916-9712-6bab48f0dc83","960f5d61-9c5e-4798-8ae1-3783a117f2a1","ALG-0018","ALG-0018","Specific IgE - Olive Tree","Numeric","kUA/L","1","TRUE","TRUE","Active","","","CONFIGURED"
