"test_code","test_name","category","active_rate_npr","active_rate_paisa","rate_status","rate_source","effective_from","needs_admin_price"
"ALG-0001","Specific IgE - House Dust Mite D. pteronyssinus","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0002","Specific IgE - House Dust Mite D. farinae","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0003","Specific IgE - Cockroach","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0004","Specific IgE - Cat Dander","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0005","Specific IgE - Dog Dander","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0006","Specific IgE - Alternaria alternata","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0007","Specific IgE - Aspergillus fumigatus","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0008","Specific IgE - Cladosporium herbarum","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0009","Specific IgE - Penicillium chrysogenum","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0010","Specific IgE - Bermuda Grass","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0011","Specific IgE - Timothy Grass","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0012","Specific IgE - Rye Grass","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0013","Specific IgE - Johnson Grass","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0014","Specific IgE - Common Ragweed","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0015","Specific IgE - Mugwort","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0016","Specific IgE - Birch","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0017","Specific IgE - Oak","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0018","Specific IgE - Olive Tree","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0019","Specific IgE - Cow's Milk","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0020","Specific IgE - Egg White","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0021","Specific IgE - Egg Yolk","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0022","Specific IgE - Peanut","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0023","Specific IgE - Soybean","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0024","Specific IgE - Wheat","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0025","Specific IgE - Rice","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0026","Specific IgE - Maize/Corn","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0027","Specific IgE - Sesame","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0028","Specific IgE - Walnut","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0029","Specific IgE - Cashew","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0030","Specific IgE - Almond","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0031","Specific IgE - Hazelnut","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0032","Specific IgE - Shrimp","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0033","Specific IgE - Crab","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0034","Specific IgE - Lobster","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0035","Specific IgE - Tuna","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0036","Specific IgE - Salmon","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0037","Specific IgE - Codfish","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0038","Specific IgE - Beef","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0039","Specific IgE - Chicken Meat","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0040","Specific IgE - Pork","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0041","Specific IgE - Mustard","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0042","Specific IgE - Latex","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0043","Specific IgE - Honey Bee Venom","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0044","Specific IgE - Wasp Venom","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0045","Specific IgE - Mosquito","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0046","Specific IgE - Penicillin G","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0047","Specific IgE - Penicillin V","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0048","Specific IgE - Amoxicillin","Specific IgE","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0049","Food Allergy Panel","Panels","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0050","Inhalant Allergy Panel","Panels","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0051","Pediatric Allergy Panel","Panels","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"ALG-0052","Atopy Screen","Panels","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"BIO-0001","Glucose, Fasting","General Chemistry","150.00","15000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.214398+00:00","FALSE"
"BIO-0002","Glucose, Random","General Chemistry","150.00","15000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222438+00:00","FALSE"
"BIO-0003","Glucose, Postprandial 2 hr","General Chemistry","150.00","15000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222507+00:00","FALSE"
"BIO-0004","Glucose, 1 hr Post Glucose","General Chemistry","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"BIO-0005","Glucose, 2 hr Post Glucose","General Chemistry","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"BIO-0006","HbA1c","General Chemistry","800.00","80000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-16T07:36:39.564555+00:00","FALSE"
"BIO-0007","Fructosamine","General Chemistry","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"BIO-0008","Urea","General Chemistry","200.00","20000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222538+00:00","FALSE"
"BIO-0009","Blood Urea Nitrogen (BUN)","General Chemistry","200.00","20000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222572+00:00","FALSE"
"BIO-0010","Creatinine","General Chemistry","200.00","20000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222602+00:00","FALSE"
"BIO-0011","eGFR","General Chemistry","0.00","0","RATE_PENDING","NONE","N/A","TRUE"
"BIO-0012","Uric Acid","General Chemistry","250.00","25000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-17T02:24:52.222657+00:00","FALSE"
"BIO-0013","Total Protein","General Chemistry","200.00","20000","ACTIVE","CATALOGUE_RATE_VERSIONS","2026-09-18T12:20:51.538254+00:00","FALSE"
