"rule_id","parameter_id","test_code","parameter_code","parameter_name","gender","age_min_days","age_max_days","normal_min","normal_max","normal_text","critical_low","critical_high","unit","reference_source","clinical_note"
"b377bf2a-b93c-4e75-a9f8-6d02364c4083","c68de33c-3a7b-4cda-a9e7-4d2515e32713","BIO-0001","BIO-0001","Glucose, Fasting","All","0","43800","70","100","70 - 100 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"cbad1651-df13-4326-9324-31888ae7cdc3","3501d009-2309-4c49-b4ca-b0bd1b2a8d57","BIO-0002","BIO-0002","Glucose, Random","All","0","43800","70","140","70 - 140 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"51fb8ef2-ae34-43f5-aaee-ec2838e51791","d4753bd7-e466-4e1f-aab7-cc3953ece757","BIO-0003","BIO-0003","Glucose, Postprandial 2 hr","All","0","43800","","140","< 140 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"94f49de5-78f8-4803-8f97-c3ad461ee62f","e0811320-6e01-451a-bb74-49af6df4f776","BIO-0006","BIO-0006","HbA1c","All","0","43800","","5.7","< 5.7 % (Normal: < 5.7% | Prediabetes: 5.7-6.4% | Diabetes: >= 6.5%)","","","%","APPROVED_LIS_CONFIG",""
"11c4f0e9-ab64-4c72-afe6-be1171864d5e","46a389ed-e488-4bdf-a63f-b85c74e907b6","BIO-0008","BIO-0008","Urea","All","0","43800","15","45","15 - 45 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"01ae31a8-e931-4ab1-a816-002039a05992","c8bff101-04ab-44bd-8119-8b7a0eaa3355","BIO-0009","BIO-0009","Blood Urea Nitrogen (BUN)","All","0","43800","7","20","7 - 20 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"afb4b6de-752b-4710-80ed-e6144eb24ba4","af7bfa2a-f3a0-4e2f-ac66-b3102493ce7e","BIO-0010","BIO-0010","Creatinine","Female","0","43800","0.6","1.1","0.6 - 1.1 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"c9ea4f1d-221e-4a95-ad80-27f9211717d7","af7bfa2a-f3a0-4e2f-ac66-b3102493ce7e","BIO-0010","BIO-0010","Creatinine","Male","0","43800","0.7","1.3","0.7 - 1.3 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"a235decb-7649-46ce-b562-7b840901d9b0","3289e405-ffc8-4412-8a6c-836f7235f6b2","BIO-0012","BIO-0012","Uric Acid","Male","0","43800","3.5","7.2","3.5 - 7.2 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"ac3f26e1-2c7c-40dd-8cbc-6bc5d11298b9","3289e405-ffc8-4412-8a6c-836f7235f6b2","BIO-0012","BIO-0012","Uric Acid","Female","0","43800","2.6","6","2.6 - 6.0 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
