code,test_name,category,parameter_name,result_type,unit,specimen,method,time_point,reference_low,reference_high,qualitative_options,cutoff,calculation_formula,configured_source,analyzer_name,report_note,lab_approval_status,lab_comments
"BIO-0141","Cystatin C","Clinical Biochemistry","","","","","","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0057","Gestational OGTT 75 g","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0057","Gestational OGTT 75 g","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0057","Gestational OGTT 75 g","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0058","Glucose Challenge Test 50 g","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0059","Dexamethasone Suppression Test - Overnight","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0059","Dexamethasone Suppression Test - Overnight","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0060","Low Dose Dexamethasone Suppression Test","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
"END-0060","Low Dose Dexamethasone Suppression Test","Endocrinology","","","","Serum/Plasma at timed intervals","Protocol-based timed testing","","","","","","","","","","PENDING_LAB_APPROVAL",""
