code,name,category,current_parameters,current_components,specimen,method,source,reason_blocked,required_lab_input
"BIO-0141","Cystatin C","Clinical Biochemistry",0,0,"Specimen Pending Validation","Method Pending Clinical Validation","Unknown","NO_PARAMETERS; Result entry blocked because no reportable parameter exists.","Single analyte definition (Cystatin C); measurement unit (mg/L); age/sex-specific reference intervals; analytical method (e.g. PETIA/Turbidimetry); primary specimen (Serum); analyzer/manual entry source."
"END-0056","Oral Glucose Tolerance Test (75 g)","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed dynamic endocrine protocol with 0 configured sample interval parameters.","Timed sampling parameter names (e.g., Fasting Glucose, 1-Hour Glucose, 2-Hour Glucose); unit (mg/dL); diagnostic cutoff thresholds for normal/impaired/diabetes; protocol administration notes."
"END-0057","Gestational OGTT 75 g","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed dynamic gestational protocol with 0 configured sample interval parameters.","Timed sampling parameter names (e.g., Fasting Glucose, 1-Hour Glucose, 2-Hour Glucose per DIPSI/IADPSG standard); unit (mg/dL); gestational diagnostic cutoffs; protocol instructions."
"END-0058","Glucose Challenge Test 50 g","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Screening protocol with 0 configured sample interval parameters.","Timed post-load parameter name (e.g., 1-Hour Post-50g Glucose Load); unit (mg/dL); screening cutoff threshold (e.g. <140 mg/dL); patient preparation protocol."
"END-0059","Dexamethasone Suppression Test - Overnight","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed suppression protocol with 0 configured sample parameters.","Sampling parameter names (e.g., Baseline 8 AM Cortisol, Post-Overnight 1mg Dexamethasone 8 AM Cortisol); unit (µg/dL or nmol/L); normal suppression cutoff threshold (e.g. <1.8 µg/dL); analytical method."
"END-0060","Low Dose Dexamethasone Suppression Test","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Multi-day timed suppression protocol with 0 configured sample parameters.","Multi-point sampling parameter names (e.g., Day 0 Baseline Cortisol, Day 2 Post-0.5mg q6h Cortisol); unit (µg/dL); diagnostic suppression threshold; sampling schedule protocol."
"END-0061","High Dose Dexamethasone Suppression Test","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Multi-point suppression protocol with 0 configured sample parameters.","Sampling parameter names (e.g., Baseline Cortisol, Post-8mg Dexamethasone Cortisol); unit (µg/dL); suppression percentage criteria (>50% suppression for Cushing disease); protocol schedule."
"END-0062","ACTH Stimulation Test","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed stimulation protocol with 0 configured sample parameters.","Timed sampling parameter names (e.g., Baseline Cortisol [0 min], Post-Synacthen Cortisol [30 min], Post-Synacthen Cortisol [60 min]); unit (µg/dL); normal peak response threshold."
"END-0063","Growth Hormone Suppression Test","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed GH suppression protocol with 0 configured sample parameters.","Timed sampling parameter names (e.g., Baseline GH [0 min], GH [30 min], GH [60 min], GH [90 min], GH [120 min Post-Glucose]); unit (ng/mL); nadir suppression threshold (e.g. <1.0 ng/mL)."
"END-0064","Growth Hormone Stimulation Test","Endocrinology",0,0,"Serum/Plasma at timed intervals","Protocol-based timed testing","Unknown","NO_PARAMETERS; Timed GH stimulation protocol with 0 configured sample parameters.","Timed sampling parameter names (e.g., Baseline GH, GH [30 min], GH [60 min], GH [90 min Post-Stimulation]); stimulating agent used (Clonidine/Glucagon/L-Dopa/Insulin); unit (ng/mL); peak normal cutoff."
