table_name,pre_purge_count
audit_logs,722
ast_observation_audit,0
ast_observations,0
billing_idempotency_requests,10
payment_idempotency_requests,0
payment_transactions,10
bill_package_components,0
bill_package_selections,0
bill_panel_components,0
bill_panel_selections,0
bill_items,13
bills,10
clinical_calculation_runs,0
report_calculation_provenance,0
report_secure_link_presentations,0
report_pdf_delivery_intents,5
report_pdf_artifacts,5
order_report_delivery_entitlements,5
order_report_delivery_tokens,5
order_report_notification_generations,3
public_report_tokens,0
diagnostic_reports,5
test_results,82
sample_lifecycle_events,20
samples,10
clinical_report_group_items,13
clinical_report_groups,10
clinical_order_items,13
clinical_orders,10
outsource_sample_events,0
outsource_samples,0
critical_alert_events,0
pus_culture_worksheets,0
sms_queue_items,13
hmis_submission_events,0
hmis_monthly_report_versions,0
hmis_monthly_manual_values,0
hmis_monthly_reports,0
patient_app_pdf_tokens,0
patient_app_identities,0
lab_number_registry,10
patients,4
