"test_code","parameter_name","semantic_type","comparison_classification","existing_lis_status","method_dependent","lab_policy_required","source_traceability","conflict_notes","candidate_status","production_approved","production_action"
"BIO-0042","Ionized Calcium (Ca2+)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0042","Ionized Calcium (Ca2+)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0041","Total Calcium","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0043","Phosphorus (Inorganic Phosphate)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0044","Magnesium (Mg)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","YES (PANIC_VALUE_POLICY_REQUIRED)","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0045","Serum Iron","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0045","Serum Iron","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0046","Total Iron Binding Capacity (TIBC)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0047","Unsaturated Iron Binding Capacity (UIBC)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0048","Transferrin","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0049","Transferrin Saturation (TSAT)","DIAGNOSTIC_DECISION_LIMIT","NEW_CANDIDATE","PENDING_CONFIG","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0050","Ferritin","BIOLOGICAL_REFERENCE_INTERVAL","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"BIO-0050","Ferritin","BIOLOGICAL_REFERENCE_INTERVAL","MATCHES_EXISTING_APPROVED","CONFIGURED_IN_PROD","NO","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0013","Cortisol, Morning (8 AM)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0014","Cortisol, Evening (4 PM)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0015","Adrenocorticotropic Hormone (ACTH)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0011","Parathyroid Hormone (PTH, Intact)","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0025","Prolactin","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED (Requires specific chapter/table citation and assay package insert)","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
"END-0025","Prolactin","BIOLOGICAL_REFERENCE_INTERVAL","NEW_CANDIDATE","PENDING_CONFIG","YES (METHOD_DEPENDENT_REQUIRES_ASSAY)","NO","SOURCE_VERIFICATION_REQUIRED","None","RESEARCH_DRAFT","NO","HOLD_PENDING_LAB_REVIEW"
